,No,Kecamatan,Kelurahan,Kode Kel,J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,J_M_Non,IR_Non,CFR_Non,2017,2018,2019,2020,ABJ,Strata_E,Kelas_Endemis,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_RW,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,Mini_Market,Toko Kelontong,Resto_RM,WM_Kedai,BPR,KUD,IRT,Total_T_Ibadah,kop_total,pasar_total,instansi_kesehatan,toko_obat
21,22.0,Candisari,Candi,33.74.08.1001,11879.0,2.0,0.0,16.9,0.0,15.0,0.0,126.7,0.0,2.0,0.0,16.9,0.0,0.0,1.0,3.0,2.0,95.97,1.0,Endemis,50.28,0.0,59.42,68.0,11.0,5660.0,5935.0,3910.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,974.0,1.0,17.0,518.0,6.0,98.0,5.0,44.0,1.0,0.0,0.0,55.0,3.0,1.0,2.0,2.0
22,23.0,Mijen,Cangkiran,33.74.14.1001,4466.0,0.0,0.0,0.0,0.0,7.0,0.0,153.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.38,4.0,Bebas,9.34,110.82,31.74,40.0,8.0,2284.0,2352.0,1447.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,0.0,5.0,6.0,0.0,29.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,4.0
23,24.0,Gunungpati,Cepoko,33.74.12.1012,3180.0,0.0,0.0,0.0,0.0,1.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.51,3.0,Potensial,42.46,138.69,181.25,17.0,3.0,1639.0,1589.0,1066.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1225.0,0.0,0.0,0.0,2.0,10.0,0.0,7.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
24,25.0,Semarang Utara,Dadapsari,33.74.02.1009,8817.0,2.0,0.0,22.7,0.0,4.0,0.0,45.3,0.0,1.0,0.0,11.33,0.0,1.0,0.0,2.0,2.0,91.46,2.0,Sporadis,36.38,0.0,46.89,70.0,10.0,4466.0,4662.0,3014.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1294.0,1.0,67.0,1104.0,4.0,0.0,0.0,25.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,3.0
25,26.0,Semarang Tengah,Gabahan,33.74.01.1005,7595.0,0.0,0.0,0.0,0.0,5.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94.74,3.0,Potensial,15.14,0.0,20.52,45.0,6.0,3859.0,4128.0,2870.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,757.0,0.0,0.0,0.0,0.0,5.0,4.0,18.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0
26,27.0,Gajahmungkur,Gajahmungkur,33.74.09.1005,15910.0,4.0,0.0,25.1,0.0,40.0,0.0,251.2,0.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,4.0,94.57,1.0,Endemis,222.6,0.0,255.64,10.0,89.0,7930.0,7907.0,5092.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1389.0,2.0,53.0,1405.0,6.0,70.0,14.0,152.0,0.0,0.0,0.0,46.0,1.0,2.0,1.0,5.0
27,28.0,Gayamsari,Gayamsari,33.74.04.1007,12513.0,1.0,0.0,8.0,0.0,24.0,0.0,191.2,0.0,1.0,0.0,7.97,0.0,2.0,0.0,3.0,1.0,93.93,2.0,Sporadis,85.5,0.0,92.94,67.0,9.0,6161.0,6224.0,3863.0,9.0,2.0,0.0,4.0,0.0,1.0,0.0,4.0,4458.0,1.0,16.0,340.0,2.0,23.0,3.0,5.0,6.0,0.0,0.0,44.0,3.0,1.0,4.0,7.0
28,29.0,Genuk,Gebangsari,33.74.05.1006,5728.0,0.0,0.0,0.0,0.0,6.0,0.0,105.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.87,2.0,Sporadis,87.72,45.58,98.61,57.0,11.0,2676.0,2810.0,1879.0,13.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,2911.0,0.0,0.0,0.0,6.0,157.0,7.0,44.0,0.0,0.0,0.0,18.0,2.0,1.0,2.0,3.0
29,30.0,Banyumanik,Gedawang,33.74.11.1002,9182.0,1.0,0.0,10.7,0.0,28.0,0.0,298.8,0.0,1.0,0.0,10.67,0.0,2.0,2.0,4.0,1.0,94.9,1.0,Endemis,155.9,27.5,242.7,63.0,10.0,4788.0,4810.0,2828.0,7.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,453.0,0.0,0.0,0.0,1.0,45.0,1.0,12.0,0.0,0.0,0.0,54.0,1.0,1.0,0.0,2.0
30,31.0,Pedurungan,Gemah,33.74.06.1007,15977.0,4.0,0.0,25.0,0.0,27.0,0.0,168.6,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,4.0,91.51,1.0,Endemis,95.32,100.8,100.8,12.0,1.0,7928.0,7933.0,4892.0,16.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2832.0,0.0,0.0,0.0,4.0,141.0,6.0,84.0,1.0,0.0,0.0,72.0,1.0,0.0,5.0,6.0
31,32.0,Genuk,Genuksari,33.74.05.1004,16571.0,1.0,0.0,6.0,0.0,11.0,0.0,65.9,0.0,1.0,0.0,5.99,0.0,4.0,0.0,0.0,1.0,96.43,2.0,Sporadis,102.7,0.0,244.5,78.0,11.0,8350.0,8334.0,4999.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2261.0,0.0,0.0,0.0,5.0,99.0,4.0,32.0,1.0,0.0,0.0,52.0,1.0,1.0,4.0,2.0
32,33.0,Semarang Barat,Gisikdrono,33.74.13.1007,19782.0,3.0,0.0,15.2,0.0,16.0,0.0,80.8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,94.33,2.0,Sporadis,104.1,0.0,114.25,105.0,13.0,9803.0,9769.0,6067.0,13.0,6.0,1.0,4.0,0.0,2.0,0.0,2.0,5854.0,1.0,49.0,1944.0,7.0,63.0,1.0,78.0,0.0,0.0,0.0,51.0,2.0,1.0,1.0,3.0
33,34.0,Ngaliyan,Gondoriyo,33.74.15.1001,7234.0,0.0,0.0,0.0,0.0,10.0,0.0,136.2,0.0,1.0,0.0,13.62,0.0,3.0,1.0,1.0,0.0,98.86,2.0,Sporadis,34.8,17.0,78.66,65.0,12.0,3712.0,3733.0,2201.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,170.0,0.0,34.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0
34,35.0,Gunungpati,Gunungpati,33.74.12.1004,7309.0,0.0,0.0,0.0,0.0,15.0,0.0,204.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17,3.0,Potensial,41.06,170.3,234.96,44.0,10.0,3654.0,3723.0,2403.0,18.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,827.0,0.0,0.0,0.0,4.0,94.0,2.0,0.0,1.0,1.0,0.0,60.0,0.0,1.0,3.0,4.0
35,36.0,Banyumanik,Jabungan,33.74.11.1003,3794.0,0.0,0.0,0.0,0.0,8.0,0.0,205.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.4,2.0,Sporadis,45.47,52.25,174.23,29.0,6.0,2039.0,1931.0,1254.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,2.0,12.0,2.0,12.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
36,37.0,Semarang Tengah,Jagalan,33.74.01.1003,5719.0,0.0,0.0,0.0,0.0,9.0,0.0,158.2,0.0,2.0,0.0,35.16,0.0,0.0,1.0,1.0,0.0,93.47,2.0,Sporadis,22.81,0.0,27.03,40.0,8.0,2794.0,3017.0,2061.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1113.0,0.0,0.0,0.0,2.0,34.0,6.0,12.0,1.0,0.0,0.0,31.0,1.0,0.0,1.0,2.0
37,38.0,Tembalang,Jangli,33.74.10.1007,7521.0,0.0,0.0,0.0,0.0,7.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,93.4,2.0,Sporadis,145.0,0.0,207.5,51.0,5.0,3802.0,3889.0,2357.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,926.0,0.0,0.0,0.0,0.0,24.0,0.0,19.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
38,39.0,Mijen,Jatibarang,33.74.14.1009,3312.0,1.0,0.0,29.7,0.0,5.0,0.0,148.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,94.21,2.0,Sporadis,73.67,78.17,152.79,17.0,4.0,1684.0,1699.0,1093.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,425.0,1.0,20.0,273.0,1.0,11.0,2.0,7.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,1.0
39,40.0,Candisari,Jatingaleh,33.74.08.1002,11938.0,4.0,0.0,33.6,0.0,18.0,0.0,151.3,0.0,3.0,0.0,25.22,0.0,1.0,0.0,1.0,4.0,80.58,2.0,Sporadis,166.9,0.0,172.15,58.0,10.0,5876.0,5779.0,4003.0,11.0,5.0,0.0,4.0,0.0,2.0,0.0,3.0,2763.0,0.0,0.0,0.0,3.0,32.0,1.0,44.0,0.0,0.0,0.0,41.0,1.0,0.0,2.0,0.0
40,41.0,Gunungpati,Jatirejo,33.74.12.1013,2122.0,0.0,0.0,0.0,0.0,15.0,0.0,696.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,3.0,Potensial,24.42,70.5,163.48,14.0,4.0,1060.0,1107.0,698.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
