J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,2017,2018,2019,2020,Strata_E,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,RS,RSB,Poli,Puskesmas_RI,Puskesmas_Rj,Apotek,Mini_Market,Toko Kelontong,WM_Kedai,BPR,KUD,IRT,Kosipa,BTS,Masjid,langgar,majlis,gereja,Total_T_Ibadah
32786,4,0,12.2,0.0,42,0,127.9,0,5,7,4,3,4,1,217.9,278.5,278.5,28,16170,16563,10416,29,8,2,1,1,0,1,2,3388,2,2084.0,24022.0,0,0,8,1.0,1,10,7,167,219,4,0,0,4,3,23,81,58.0,2,166
8656,0,0,0.0,0.0,10,0,113.9,0,2,3,0,5,0,2,89.0,125.5,125.5,4,4479,4457,2644,9,3,1,0,1,0,1,0,1112,0,0.0,0.0,0,0,1,1.0,0,1,3,53,47,1,0,0,1,2,5,23,6.0,1,36
3537,0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0,3,83.7,30.0,318.53,20,1750,1778,1074,1,2,0,0,0,0,0,0,305,0,0.0,0.0,0,0,2,0.0,0,1,2,10,25,0,0,0,2,2,1,11,1.0,0,13
7564,1,0,13.1,0.0,11,0,144.4,0,0,2,0,0,1,2,129.92,118.79,744.01,36,3770,3780,2396,6,3,1,1,0,0,0,0,899,0,0.0,0.0,0,0,0,0.0,0,0,4,36,36,1,0,0,0,6,6,20,6.0,1,33
5171,1,0,18.9,0.0,9,0,169.8,0,0,0,0,0,1,2,38.28,220.0,193.31,36,2663,2758,1711,1,2,1,0,1,0,1,0,612,0,0.0,0.0,0,0,2,0.0,0,2,0,70,26,0,0,0,1,3,2,13,0.0,0,15
10413,1,0,9.9,0.0,11,0,109.0,0,2,2,1,4,1,1,76.77,0.0,81.1,81,4927,5060,3358,6,1,0,2,0,2,0,1,2638,3,107.0,2381.0,1,0,2,0.0,0,4,8,80,31,0,0,0,1,4,7,6,2.0,5,20
9444,4,0,41.3,0.0,27,0,278.6,0,0,0,0,4,4,2,100.0,9.0,1002.91,27,1897,1947,1249,8,2,0,1,0,0,0,0,3364,0,0.0,0.0,0,0,0,0.0,0,0,0,5,12,0,0,0,0,0,8,29,8.0,4,49
3688,0,0,0.0,0.0,6,0,159.3,0,0,0,0,0,0,4,100.0,87.36,1372.17,52,4937,4927,2998,3,3,1,3,3,2,2,1,665,0,0.0,0.0,0,0,0,0.0,0,1,4,50,50,0,0,0,0,1,4,11,3.0,0,18
23137,3,0,12.9,0.0,12,0,51.4,0,1,1,1,4,3,1,58.19,47.0,108.03,130,11768,11765,7218,18,4,1,1,1,0,1,1,1234,1,17.0,694.0,0,0,1,1.0,0,4,8,135,23,0,0,0,1,4,13,33,6.0,1,53
8280,0,0,0.0,0.0,14,0,169.4,0,0,3,0,4,0,2,59.63,0.0,63.27,47,3967,4166,2712,3,3,0,1,0,0,0,0,1801,1,21.0,392.0,0,0,0,1.0,1,0,3,52,38,0,0,0,1,4,8,14,5.0,2,29
