J_Penduduk;J_P_DBD;J_M_DBD;IR_DBD;CFR_DBD;J_P_DD;J_M_DD;IR_DD;CFR_DD;J_P_N;J_M_Non;IR_Non;CFR_Non;2017;2018;2019;2020;ABJ;Strata_E;Tnh_pek_bang_hlmn;Tanah Sawah;Tanah Kering;J_RT;J_RW;J_Pdd_Lk;J_Pdd_Pr;J_Kep_Kel;J_KBPaud;J_SD;J_MI;J_SMP;J_MTS;J_SMA;J_MA;J_SMK;J_Siswa;J_PT;J_Dosen;J_Mhs;Mini_Market;Toko Kelontong;Resto_RM;WM_Kedai;BPR;KUD;IRT;Total_T_Ibadah;kop_total;pasar_total;instansi_kesehatan;toko_obat
3312;1;0;29.7;0;5;0;148.6;0;0;0;0;0;2;0;1;1;94.21;2;73.67;78.17;152.79;17;4;1684;1699;1093;1;3;1;0;0;0;0;0;425;1;20;273;1;11;2;7;0;0;0;24;1;0;0;1
11938;4;0;33.6;0;18;0;151.3;0;3;0;25.22;0;1;0;1;4;80.58;2;166.9;0;172.15;58;10;5876;5779;4003;11;5;0;4;0;2;0;3;2763;0;0;0;3;32;1;44;0;0;0;41;1;0;2;0
2122;0;0;0;0;15;0;696.1;0;0;0;0;0;0;0;0;0;92;3;24.42;70.5;163.48;14;4;1060;1107;698;3;2;0;1;0;0;0;0;241;0;0;0;0;0;0;8;0;0;0;15;0;0;0;0
11510;14;0;119.3;0;58;0;494.1;0;3;0;25.56;0;7;0;4;14;98.9;2;40.55;4.71;197.5;109;13;5864;5912;3455;19;3;0;1;0;1;0;0;1744;0;0;0;4;168;3;74;4;0;0;40;0;1;1;7
2918;2;0;68;0;4;0;136;0;0;0;0;0;0;0;0;2;95.88;2;84.41;75.9;217.15;18;4;1405;1493;951;3;0;1;1;0;1;0;0;1198;0;0;0;1;25;1;26;1;0;0;12;0;0;2;0
20365;2;1;9.8;4.9;14;0;68.8;0;1;0;4.91;0;10;2;11;2;89.64;1;75.85;0;91.06;120;15;9929;10272;6579;13;7;0;3;0;1;0;1;3663;1;11;768;4;63;2;35;0;0;0;74;2;0;4;1
5531;1;0;18.2;0;21;0;381.4;0;3;0;54.49;0;0;0;1;1;93.63;2;69.3;0;93.15;37;5;2671;2712;1726;5;3;0;1;0;1;0;1;1991;0;0;0;7;42;1;32;0;0;0;17;1;0;3;4
6941;2;0;28.9;0;10;0;144.7;0;1;0;14.47;0;0;0;0;2;94.95;2;131;2;199;48;6;3364;3413;2263;2;2;0;1;0;1;0;1;1513;0;0;0;6;8;0;42;0;0;0;32;1;1;5;5
9533;2;0;20.9;0;8;0;83.4;0;3;0;31.29;0;4;0;4;2;94.75;2;62;80;80;9;1;4733;4776;2999;8;9;1;3;1;2;0;1;3493;0;0;0;6;250;3;55;1;0;0;42;0;0;1;10
10596;1;0;9.4;0;1;0;9.4;0;1;0;9.43;0;0;0;0;1;94.74;2;54;0;66.4;76;10;5307;5255;3296;11;2;0;1;0;0;0;1;689;0;0;0;1;50;1;13;0;0;0;41;0;1;0;1
